STATEFP,COUNTYFP,TRACTCE,PUMA5CE
12,001,000200,00101
12,001,000301,00101
12,001,000302,00101
12,001,000400,00101
12,001,000500,00101
12,001,000600,00101
12,001,000700,00101
12,001,000806,00101
12,001,000808,00101
12,001,000809,00101
12,001,000901,00101
12,001,000902,00101
12,001,001000,00101
12,001,001100,00101
12,001,001201,00101
12,001,001202,00101
12,001,001203,00101
12,001,001400,00101
12,001,001514,00101
12,001,001515,00101
12,001,001516,00101
12,001,001517,00101
12,001,001519,00101
12,001,001520,00101
12,001,001521,00101
12,001,001603,00101
12,001,001604,00101
12,001,001701,00101
12,001,001702,00101
12,001,001803,00101
12,001,001811,00101
12,001,001902,00101
12,001,110800,00101
12,001,001801,00102
12,001,001802,00102
12,001,001805,00102
12,001,001806,00102
12,001,001813,00102
12,001,001814,00102
12,001,001907,00102
12,001,001908,00102
12,001,002000,00102
12,001,002101,00102
12,001,002102,00102
12,001,002201,00102
12,001,002202,00102
12,001,002204,00102
12,001,002205,00102
12,001,002207,00102
12,001,002208,00102
12,001,002209,00102
12,001,002210,00102
12,001,002217,00102
12,001,002218,00102
12,001,002219,00102
12,001,002220,00102
12,003,040101,08900
12,003,040102,08900
12,003,040201,08900
12,003,040202,08900
12,005,000201,00500
12,005,000202,00500
12,005,000300,00500
12,005,000400,00500
12,005,000500,00500
12,005,000600,00500
12,005,000700,00500
12,005,000803,00500
12,005,000804,00500
12,005,000805,00500
12,005,000806,00500
12,005,000900,00500
12,005,001000,00500
12,005,001100,00500
12,005,001200,00500
12,005,001301,00500
12,005,001302,00500
12,005,001402,00500
12,005,001403,00500
12,005,001404,00500
12,005,001501,00500
12,005,001502,00500
12,005,001600,00500
12,005,001700,00500
12,005,001800,00500
12,005,001900,00500
12,005,002000,00500
12,005,002200,00500
12,005,002300,00500
12,005,002400,00500
12,005,002500,00500
12,005,002601,00500
12,005,002603,00500
12,005,002604,00500
12,005,002605,00500
12,005,002606,00500
12,005,002607,00500
12,005,002608,00500
12,005,002701,00500
12,005,002702,00500
12,005,002703,00500
12,005,002704,00500
12,005,002705,00500
12,005,990000,00500
12,007,000100,02300
12,007,000200,02300
12,007,000300,02300
12,007,000400,02300
12,009,060101,00901
12,009,060102,00901
12,009,060200,00901
12,009,060300,00901
12,009,060400,00901
12,009,060500,00901
12,009,060600,00901
12,009,060700,00901
12,009,061001,00901
12,009,061002,00901
12,009,061100,00901
12,009,061201,00901
12,009,061202,00901
12,009,062103,00901
12,009,062104,00901
12,009,062106,00901
12,009,062107,00901
12,009,062108,00901
12,009,062109,00901
12,009,062301,00901
12,009,062302,00901
12,009,062400,00901
12,009,062500,00901
12,009,062600,00901
12,009,062800,00901
12,009,062900,00901
12,009,063000,00901
12,009,063102,00901
12,009,063104,00901
12,009,063105,00901
12,009,063106,00901
12,009,063107,00901
12,009,071100,00901
12,009,071200,00901
12,009,071400,00901
12,009,071500,00901
12,009,066101,00902
12,009,066103,00902
12,009,066104,00902
12,009,066200,00902
12,009,066301,00902
12,009,066302,00902
12,009,066400,00902
12,009,066500,00902
12,009,066600,00902
12,009,066700,00902
12,009,066800,00902
12,009,066900,00902
12,009,067100,00902
12,009,068101,00902
12,009,068102,00902
12,009,068200,00902
12,009,068300,00902
12,009,068400,00902
12,009,068501,00902
12,009,068502,00902
12,009,068601,00902
12,009,068602,00902
12,009,069100,00902
12,009,069200,00902
12,009,069300,00902
12,009,069400,00902
12,009,069700,00902
12,009,069801,00902
12,009,069802,00902
12,009,069901,00902
12,009,069902,00902
12,009,071600,00902
12,009,980000,00902
12,009,980100,00902
12,009,990000,00902
12,009,064102,00903
12,009,064123,00903
12,009,064124,00903
12,009,064125,00903
12,009,064126,00903
12,009,064127,00903
12,009,064128,00903
12,009,064201,00903
12,009,064202,00903
12,009,064301,00903
12,009,064302,00903
12,009,064400,00903
12,009,064500,00903
12,009,064601,00903
12,009,064602,00903
12,009,064700,00903
12,009,064800,00903
12,009,064901,00903
12,009,064902,00903
12,009,065001,00903
12,009,065021,00903
12,009,065022,00903
12,009,071301,00903
12,009,065121,00904
12,009,065122,00904
12,009,065123,00904
12,009,065124,00904
12,009,065125,00904
12,009,065201,00904
12,009,065202,00904
12,009,065231,00904
12,009,065234,00904
12,009,065235,00904
12,009,065236,00904
12,009,071322,00904
12,009,071332,00904
12,009,071334,00904
12,009,071335,00904
12,009,071336,00904
12,009,071337,00904
12,009,071338,00904
12,009,071339,00904
12,009,071340,00904
12,011,010503,01101
12,011,010504,01101
12,011,010601,01101
12,011,010603,01101
12,011,010604,01101
12,011,010605,01101
12,011,010611,01101
12,011,010612,01101
12,011,020302,01101
12,011,020308,01101
12,011,020309,01101
12,011,020311,01101
12,011,020312,01101
12,011,020313,01101
12,011,020314,01101
12,011,020315,01101
12,011,020316,01101
12,011,020317,01101
12,011,020318,01101
12,011,020319,01101
12,011,020320,01101
12,011,020321,01101
12,011,020322,01101
12,011,020323,01101
12,011,020324,01101
12,011,020325,01101
12,011,020326,01101
12,011,980000,01101
12,011,010502,01102
12,011,010606,01102
12,011,010607,01102
12,011,010609,01102
12,011,010610,01102
12,011,020101,01102
12,011,020103,01102
12,011,020104,01102
12,011,020204,01102
12,011,020205,01102
