CountyNumber,CountyName
11,Alachua
12,Baker
13,Bay
14,Bradford
15,Brevard
16,Broward
17,Calhoun
18,Charlotte
19,Citrus
20,Clay
21,Collier
22,Columbia
23,Miami-Dade
24,DeSoto
25,Dixie
26,Duval
27,Escambia
28,Flagler
29,Franklin
30,Gadsden
31,Gilchrist
32,Glades
33,Gulf
34,Hamilton
35,Hardee
36,Hendry
37,Hernando
38,Highlands
39,Hillsborough
40,Holmes
41,Indian River
42,Jackson
43,Jefferson
44,Lafayette
45,Lake
46,Lee
47,Leon
48,Levy
49,Liberty
50,Madison
51,Manatee
52,Marion
53,Martin
54,Monroe
55,Nassau
56,Okaloosa
57,Okeechobee
58,Orange
59,Osceola
60,Palm Beach
61,Pasco
62,Pinellas
63,Polk
64,Putnam
65,Saint Johns
66,Saint Lucie
67,Santa Rosa
68,Sarasota
69,Seminole
70,Sumter
71,Suwannee
72,Taylor
73,Union
74,Volusia
75,Wakulla
76,Walton
77,Washington
